generation,individual_index,expression,fitness
0,0,((x0) + ((x0) / (x1))) - ((x1) + (-3.974986279572848)),-0.4073684832346462
0,1,((x1) + (x0)) - ((x0) + (x1)),-25.15785605248619
0,2,(abs(abs(-3.3670959699399075)**(x0))**((-3.4193301860973913) / (x0))) * (x0),-14.053448088962293
0,3,(((x1) / (-0.5835109372550816)) / ((-0.8786057731072258) - (0.8085934345206539))) - (x1),-14.053448088973157
0,4,(abs(x1)**(0.8372426846651023)) - (abs(x1)**(abs(-1.41948175691216)**(-0.5317071888435617))),-14.388293556986108
0,5,((-592.015714668842) * (151.31730177714638)) + (((x1) + (x0)) * (x0)),-28921104795.146603
0,6,(((432.6921332419261) - (x1)) - ((x1) - (433.5997332137219))) * (x0),-3332009578.664701
0,7,(abs(0.9730039029418004)**((x1) - (-45.87323804832814))) * ((x1) + (x0)),-9.949020262279777
0,8,(((x1) + (x1)) / (abs(x1)**(1.8139632210089318))) * (x1),-1.3587497680785552
0,9,((x1) / (1.062421358426819)) * (((5.195848519119214) / (x1)) + (0.000646915349999758)),-0.3978857807954137
0,10,(abs(abs(-1.0709553683737694)**(3.780011217642199))**(abs(x0)**(-1.5862810146835047))) - (-3.9845916442954636),-0.40770898364782987
0,11,(abs(-0.6079342721445748)**((-0.43579146698735016) / (x0))) + ((0.6204326087769414) / (x1)),-16.05196329529542
0,12,((x0) / ((x1) * (x1))) - ((-2.2239988817852425) * (2.226126168659465)),-0.4124628230885243
0,13,(abs((x1) - (x0))**(abs(x0)**(0.26398761296093043))) * (x0),-25.15785605248619
0,14,(abs((x1) * (x1))**((x0) - (x1))) + (x0),-43676.59070467127
0,15,abs(((-0.13398112928756295) + (0.12716414401900297)) / ((x1) * (x1)))**(-0.11225570742367001),-1.7621235025543927
0,16,((2.3089515515470094) / (0.37730704714342006)) - (abs(x0)**((1.5538536861891667) / (x0))),-0.3965100197233277
0,17,(((x0) / (x1)) * (abs(0.061358635261783645)**(x0))) * (x1),-25.15785605248619
0,18,((x1) / (x0)) + ((71.58306022436966) - ((x1) + (-71.02506948552897))),-25606.061477161264
0,19,((x1) + (x0)) * (abs(x1)**((-0.3805627921603804) * (2.138840791243614))),-1.3587497680785563
0,20,((x0) * (x1)) + ((x1) + (-44946.219152344565)),-7256679352.399147
0,21,(((x0) / (-12.665619924383964)) / (x1)) - ((x1) + (x0)),-182065.44919605958
