generation,individual_index,expression,fitness,nodes
0,0,1/(abs(1/(-0.996856174520998))**(1/(x0))),-0.7044701199798364,6
0,1,(abs(0.45724504998613746)**(0.12934240583127246)) / (1/(x0)),-0.6386775021098101,6
0,2,abs(abs(1/(x0))**(x0))**(1/(x0)),-2.8391535744782987,7
0,3,((4.8914331795381285) + ((-4.89173294380878) * (x0))) / ((1/(x0)) - (abs(x0)**(x0))),-0.341938274061562,12
0,4,((1/(0.8431028235977915)) - ((x0) * (-0.8243378851690009))) * ((x0) - (x0)),-3.2958613259668508,10
0,5,((x0) / (1/(0.7196308264882423))) + (abs(1/(x0))**(x0)),-0.08499839976224437,9
0,6,(((x0) - (2.6658666639780435)) * (x0)) * ((x0) + (-2.6658983174294204)),-0.8427863650867559,9
0,7,(((-0.44300726587149786) - (x0)) * (1/(-1.6955030989489583))) + (abs(1/(x0))**(x0)),-0.0724236653824062,11
0,8,1/(((0.2813326025069946) + (x0)) - (-0.018857530724262474)),-1.6725629776213857,6
0,9,((x0) * (abs(0.7570029783060148)**(x0))) / (abs(-0.1339020093134264)**(abs(0.48120216042359787)**(x0))),-0.010950555672967557,11
0,10,((x0) * (1.6325657264344322)) - ((x0) / (1.3720672650717771)),-0.6386775021099416,7
0,11,1/((-0.3832668727877102) * (1/(-0.6891180473247961))),-0.06301759103812883,5
0,12,(abs((0.1932631240449201) - (-0.17386694801758992))**(0.15649881919694172)) + (abs(9.672063892315582e-05)**(abs(-0.0005696535050383716)**(x0))),-0.021215515369775333,11
0,13,1/((-25.198507073837902) - (1/(x0))),-3.4351074805877717,5
0,14,((0.2764798814322244) * (x0)) + (abs(-0.9999505824946612)**(abs(x0)**(-0.3099249171905592))),-0.22323156226274446,9
0,15,((0.546406186639216) + ((-1.1725346882631145) + (0.31881090484111657))) * ((-1.5745813310617174) - ((x0) + (2.230217855873497))),-0.1277067726924641,11
0,16,((abs(x0)**(x0)) * (x0)) / ((1.8427055146331968) - (abs(-11.434769206299501)**(x0))),-3.7212220317229976,11
0,17,1/(abs((x0) / (x0))**(x0)),-0.699839226519337,6
0,18,abs((x0) / (-1.2481548986578392))**(((x0) / (1.536270138612689)) - ((0.5220154976281078) + (-0.5291948716953282))),-2.548063965667438,11
0,19,(((x0) + (-0.5378736219374493)) + (x0)) - (1/(1/(0.9180827336267565))),-2.4287539559336646,9
0,20,(abs((x0) / (x0))**(x0)) / (1/((x0) / (-15.33230704598731))),-3.69323249301049,10
0,21,(1/(-0.380107041082805)) * (1/(-1.4631934089188865)),-0.06301759103812545,5
0,22,abs((3.7095368216579563) + (4.221125733388695))**(1/((x0) - (-3.038734407939432))),-0.1422107245009474,8
0,23,((3.053546203075834) + (1.9984322384139548)) - ((x0) + (x0)),-2.5477768457721925,7
0,24,(abs(-1.0156317660030152)**((x0) / (-0.7201910119076455))) * ((1/(-1.9796146184457428)) + (x0)),-1.0984505610665336,10
0,25,1/((1/(x0)) * ((x0) + (-0.04539737945799087))),-0.6601013281922696,7
0,26,(((x0) - (0.27301511791323946)) - (-1.1580431582157338)) + ((0.9129830087006665) - (x0)),-0.06301759103812458,9
0,27,abs((1/(x0)) * (-0.5668584493223843))**(((x0) - (x0)) * (abs(0.903568735472307)**(x0))),-0.699839226519337,12
0,28,(((x0) * (1.1168777902232365)) / ((x0) + (0.0809850790095262))) / ((1/(1.1008196155149004)) * (0.6344588934104747)),-0.03731008760836021,12
0,29,(((x0) / (-1.010509649038006)) - (-0.46091741446406026)) + ((1/(0.7345662849063707)) + (x0)),-0.06446909234136061,10
0,30,((x0) - (x0)) * ((abs(x0)**(x0)) * (-0.03861470864744021)),-3.2958613259668508,9
0,31,(abs((-0.16682221372119843) * (x0))**(0.11264385072328716)) + ((-0.10468622116947329) * ((-0.5952771516444523) / (0.06553949547723979))),-0.05067116351281176,11
0,32,abs((x0) - ((x0) / (1.2595611968314429)))**((abs(2.253917606173014e-06)**(x0)) + (1/(x0))),-1.9154455144377163,12
0,33,1/((abs(2.2160291060992248)**(x0)) / (abs(x0)**(x0))),-1.418455444399795,8
0,34,((2.1881004063041756) + ((-0.5875730780793745) * (x0))) / ((0.968627398781079) / (x0)),-0.1704565289738746,9
0,35,abs(((3.0205095675018643) + (x0)) / (abs(-0.6492846011534388)**(0.9608853127076226)))**(1/(3.379770569842476)),-0.0661025901361512,10
0,36,((x0) * (x0)) + (((x0) + (x0)) * (x0)),-126.11496197655264,9
0,37,((1/(1.0794954009157798)) * ((0.21429375095301043) * (x0))) - (((0.17397512168440202) * (x0)) + (-1.7580886273641412)),-0.06265251369837192,12
0,38,((x0) * (1/(-16.132837204395837))) / ((1/(-1.1415748371198453)) * ((-0.6524303092336722) + (x0))),-3.066584642605004,11
0,39,(abs(-0.9958834026428651)**((x0) * (x0))) / (1/(1.8222001403867416)),-0.06262874874823277,8
