dummy,evals,expr,fitness,len
0,1,(((-0.80186683) * log_v_k_nu) * (1 / log_v_k_nu)),-3.4028235e+38,6
0,3,((1 / log_v_k_nu) * 0.89163792),-3.4028235e+38,4
0,8,(1 / log_v_k_nu),-3.4028235e+38,2
0,5,(3.4201443 - log_v_k_nu),-0.69250524,3
0,7,(1 / 0.55611175),-0.0631793,2
0,13,((log_v_k_nu / log_v_k_nu) + (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,7
0,10,(((1 / log_v_k_nu) / (2.2977731 + (-0.72018015))) - (1 / log_v_k_nu)),-3.4028235e+38,9
0,9,((abs(log_v_k_nu) ^ (-0.058945213)) * (-1.6006057)),-3.4028235e+38,5
0,11,((1 / ((-0.16844253) / log_v_k_nu)) / (abs((log_v_k_nu - log_v_k_nu)) ^ log_v_k_nu)),-3.4028235e+38,10
0,20,(1 / log_v_k_nu),-3.4028235e+38,2
0,12,((1 / (1 / 135.00537)) - ((log_v_k_nu * log_v_k_nu) - (-129.97763))),-6.700153,9
0,19,((log_v_k_nu * (-0.33321747)) / (1 / log_v_k_nu)),-9.039112,6
0,15,(((-0.3209582) + log_v_k_nu) / log_v_k_nu),-3.4028235e+38,5
0,22,(log_v_k_nu - (-0.40775105)),-0.6850449,3
0,23,(1 / (1 / (((-2.8341174) / (-1.6131742)) + (0.025488853 * log_v_k_nu)))),-0.062790275,9
0,18,(1 / ((-82.164551) / (-147.74933))),-0.06317934,4
0,21,(abs((1 / (1 / log_v_k_nu))) ^ (0.94249475 - log_v_k_nu)),-1.5027854,7
0,24,(abs((log_v_k_nu - log_v_k_nu)) ^ (abs(log_v_k_nu) ^ (-0.11297318))),-3.2967005,7
0,28,(1 / log_v_k_nu),-3.4028235e+38,2
0,14,(abs(((abs(log_v_k_nu) ^ log_v_k_nu) + 0.96961409)) ^ (abs(log_v_k_nu) ^ log_v_k_nu)),-3.4028235e+38,9
0,26,((0.28348058 / log_v_k_nu) * (log_v_k_nu + log_v_k_nu)),-3.4028235e+38,7
0,32,(1 / (1 / (1 / (1 / log_v_k_nu)))),-0.66252,5
0,33,((log_v_k_nu / log_v_k_nu) * (1 / (-2.1594818))),-3.4028235e+38,6
0,6,(abs((1 / (-0.66721803))) ^ 1.4501517),-0.063179344,4
0,34,(1 / ((abs((log_v_k_nu * 0.65861851)) ^ log_v_k_nu) - (log_v_k_nu - log_v_k_nu))),-1.0657841,10
0,25,(1 / (-1553.8455)),-3.2990155,2
0,38,((1.1054329 / 0.18203376) + (log_v_k_nu / log_v_k_nu)),-3.4028235e+38,7
0,2,(1 / 0.55611181),-0.06317927,2
0,39,(1 / (1 / 1.7981997)),-0.0631793,3
