dummy,evals,expr,fitness
0,1,(((abs((1 / ((0.54324269 * log_v_k_nu)) / (1.462568 + 0.34995776))) ^ ((abs((-0.63907707)) ^ 0.42386198) / 1 / (((-0.67475456) * log_v_k_nu)))) + (((0.15184349 * log_v_k_nu) - (1.075946 * log_v_k_nu)) / (abs(0.29915139) ^ (0.75601012 * log_v_k_nu)))) * ((((0.10321528 * log_v_k_nu) * 0.73243469) / (0.91310143 + (-0.37323996))) * (1 / ((-0.70350862)) * 1 / ((-0.54759282))))),-252.27818
0,2,((abs(((1 / (0.75854439) - (abs(0.13169266) ^ (-0.32470447))) / (abs((((-1.7829299) * log_v_k_nu) + ((-0.10983829) * log_v_k_nu))) ^ (abs((-1.422729)) ^ ((-0.52732575) * log_v_k_nu))))) ^ (((abs(0.208381) ^ ((-0.44541585) * log_v_k_nu)) * (0.35923693 * log_v_k_nu)) + (((-0.9283905) * log_v_k_nu) / (-0.52492124)))) + (((0.38389397 - (-0.13453455)) * ((-0.96152169) + ((-1.2103922) * log_v_k_nu))) / 1 / (1 / ((-0.4688046))))),-3.3209348
0,3,(((0.019971246 * log_v_k_nu) - ((-0.0055172443) * log_v_k_nu)) - (-1.7568582)),-0.06279027
0,4,((abs(((1 / ((1.0555767 * log_v_k_nu)) / ((-0.88628089) * log_v_k_nu)) - ((0.8700648 * log_v_k_nu) / ((-0.020832714) * log_v_k_nu)))) ^ 1 / (1 / ((-0.090613283)))) * (((1.0592169 - ((-1.2058799) * log_v_k_nu)) + 1 / ((1.4488527 * log_v_k_nu))) * 1 / ((0.031972121 + (-0.25672007))))),-3.4028235e+38
0,5,(((0.62640643 * log_v_k_nu) - 0.26942688) / 1 / ((0.50074804 * log_v_k_nu))),-1.6175004
0,6,1 / (1 / ((((((-0.10718454) * log_v_k_nu) + (-0.48998737)) / 1 / ((0.79314506 * log_v_k_nu))) + (0.49268904 + 1.8230116)))),-0.48355538
0,7,((((abs(1.0281949) ^ (0.62530005 * log_v_k_nu)) / (((-0.42753509) * log_v_k_nu) * (0.60712224 * log_v_k_nu))) * (abs((((-1.3406229) * log_v_k_nu) / ((-0.83614641) * log_v_k_nu))) ^ 1 / ((-0.57533556)))) + ((((-0.4007819) * log_v_k_nu) + (0.42070782 * log_v_k_nu)) / (((-0.15721966) * log_v_k_nu) - (-0.85600191)))),-3.4028235e+38
0,8,((abs((((0.10839911 * log_v_k_nu) / 1.1426001) * (abs((-0.23451543)) ^ 0.65056998))) ^ (1 / ((2.322541 * log_v_k_nu)) + (-2.0522828))) / (((0.48592919 * log_v_k_nu) + ((-0.48814476) * log_v_k_nu)) + ((-1.0444746) + 0.83986139))),-472833.6
0,9,1 / ((1 / (((0.92537296 + ((-1.1525515) * log_v_k_nu)) - ((1.2585447 * log_v_k_nu) - (-1.955368)))) / ((((-0.39011165) / ((-1.1495115) * log_v_k_nu)) / 1 / ((-0.3251881))) * ((1.0192251 * log_v_k_nu) / (-0.89510679))))),-3.4028235e+38
0,10,(((abs(((0.30051368 * log_v_k_nu) + 0.71562576)) ^ (((-0.45725518) * log_v_k_nu) - ((-0.75544631) * log_v_k_nu))) + (1 / (1.5172515) - (1.4379101 * log_v_k_nu))) + ((0.61151731 / ((-0.44603431) * log_v_k_nu)) * (((-2.4549763) * log_v_k_nu) - 1.4972113))),-3.4028235e+38
