generation,individual_index,expression,fitness
0,0,((x0) * (x0)) * ((-2.6717618415468527) - (2.698671560423389)),-4412.81018125578
0,1,abs((x0) / (x0))**(abs(0.5054052301190815)**(x0)),-2629.746686293533
0,2,(abs(0.3552574483191197)**((x0) * (-0.2366083098043868))) - (((x0) - (x0)) * (x0)),-2015.229058184133
0,3,(((-1.7484825736225762) * (x0)) - (x0)) + (abs(-0.09679954172442497)**((0.8245418583461511) / (0.12344798511942535))),-890.5129917807477
0,4,((0.22925512031885667) + (0.6161447866546473)) + ((-0.6005491589747759) - ((0.44306684614457287) + (x0))),-991.2431222237726
0,5,((0.41754017342044997) / (-0.6474638569764278)) / ((abs(-0.6182011596882143)**(0.7936954908092156)) + ((-0.5773989435885609) + (0.6534248716087656))),-2604.6529676373893
0,6,(abs(0.647707223216928)**((x0) * (-0.40971209702469646))) - (((x0) / (0.5092198030443427)) - (0.8533497951648976)),-3433.136994375047
0,7,(((0.054885344208797926) + (0.7258878250450713)) / ((x0) + (-1.1272949746277852))) * (abs(-0.3050612616211305)**(-0.06833316989134268)),-3661.5160867716095
0,8,(abs(-1.7943805001740556)**(x0)) / ((0.5825354770713919) - (-1.5869345606169574)),-1300.5575399300178
0,9,((-0.32365158129716126) - (x0)) * (abs(x0)**(x0)),-2301.1016242671576
0,10,(((x0) + (-0.11559832689574073)) - (-0.4359686611276377)) / ((1.021621416625253) / ((-0.08275824656240113) + (-0.8332759195530404))),33.262027454721775
0,11,((x0) / (x0)) + (((-1.2051979789672869) + (x0)) + ((-0.01041020082424424) / (x0))),-2791.2932864754166
0,12,((x0) - (0.2724414112804417)) / ((x0) - (-0.3724613805029595)),-3143.425110128368
0,13,(abs((-0.39637784010492727) - (0.9354483005535522))**(0.2584915700219459)) * ((x0) * (2.491627586152208)),-911.6000841905275
0,14,((x0) * (1.6784334563106136)) - ((abs(x0)**(x0)) * (-0.1944021562900466)),-715.142752791688
0,15,abs(abs((x0) * (-2.3522135678718166))**((-0.3617573645461997) / (0.777858560777373)))**((-0.7707261652648529) - (0.6824598249250421)),731.4147219802612
0,16,abs(((-0.2795121913631879) - (x0)) + (0.015255613119328992))**(abs((x0) + (1.138566234634272))**(-0.352335981532267)),-1322.4909616430853
0,17,((-0.5483234791555291) / ((0.35003824966172603) / (x0))) - (((0.12146745708586086) - (0.014362553092835)) + (0.0780032996807026)),402.2050423474649
0,18,((-0.43111789812886697) + (0.2499409363196733)) + (((-1.6131237613190907) * (x0)) * ((x0) / (x0))),639.8408462968296
0,19,(((-0.5204072033096875) - (-0.9513234401188151)) / (-0.5908847962466732)) * (((x0) + (-0.05459762352146969)) / (x0)),-2878.4293051539507
0,20,(((x0) * (-0.8277778447497526)) / ((0.4784986243278806) * (-0.5616754098666267))) / ((0.8836889649451719) - (x0)),-2020.2291828728205
0,21,abs((-0.7777584766922541) / ((0.20555821472590327) / (0.40818684647127357)))**((-0.3724166591719008) + ((x0) - (x0))),-2604.653410340431
0,22,(abs(0.8231178937026356)**((x0) - (0.9237404870573368))) * ((x0) * (2.604172921741599)),-570.5627741081074
0,23,(abs((x0) / (-1.6502592703001828))**(1.49058470383893)) + (abs(abs(-0.28062162872876295)**(0.9284527217828334))**(0.6908667654428524)),-839.0726785403456
0,24,(((x0) * (-0.7706661064318379)) / (x0)) / ((-0.6471204296426644) - ((x0) - (-0.3423888546834895))),-3914.379469348229
0,25,(((x0) * (x0)) - (x0)) / (abs(-1.8403271713519211)**((x0) + (-2.6946046104013437))),-520.5406390349287
0,26,((abs(0.04834279791708257)**(x0)) - (-0.8100029243932048)) * ((-2.167890199387605) * (x0)),201.5037283812492
0,27,(abs(x0)**((x0) + (x0))) / (abs(0.4457713597434343)**((x0) - (x0))),-3576.652734566873
0,28,(((0.7963575989622781) + (-0.6117448248468613)) - (-0.5367166764071866)) / (abs((x0) + (-2.329295285431108))**(-0.18239396848202702)),-2638.261262605485
0,29,((0.9083123215448154) * ((-0.7873623270726633) * (-0.7194588430081045))) / (((0.4271019134189614) / (x0)) * (0.4383500924165554)),-890.5107428488957
0,30,((x0) / ((x0) / (-0.368329004258236))) * ((-0.7431802304261353) - (abs(x0)**(x0))),-2891.4418738411423
0,31,(((-1.0664321060945734) + (-0.8270559522766922)) / ((0.9271608737707202) - (x0))) * ((x0) * (-1.428197201570124)),-1885.5696243967443
0,32,(((0.6832496682100835) * (x0)) - (-0.6129274936434043)) * ((x0) - (0.7753672544187832)),-2186.87221300793
0,33,((-0.2108565558915507) + (0.7172725490794086)) + ((x0) + (-0.9071431760144831)),-2179.2243222229017
0,34,(abs(0.01385531448465541)**(x0)) - (abs(x0)**(-0.014231536125584454)),-2164.0062200807133
0,35,((0.5717838412499713) / ((x0) / (-0.0026497266869820843))) - ((x0) / (-0.21145782942792338)),-1955.7623678607779
0,36,((x0) + (-0.5358166460009471)) / ((x0) / (x0)),-2170.6646526048344
0,37,abs((-0.982025087251737) / (-0.6828611853963502))**(((0.9265662311447488) * (0.8141344979071302)) / ((-0.5357429238686642) + (-0.8270761866020404))),-2821.874094194169
0,38,(((x0) + (x0)) + (0.09290545931666519)) / (((-0.9122440699685453) / (1.155606462681583)) - (x0)),-1204.7199703273661
0,39,(abs(x0)**((x0) / (3.774045943280857))) * ((x0) * ((-3.2390953589687004) - (x0))),-3008.213696578748
0,40,((-2.115301055225207) / (abs(x0)**(1.551485123728479))) * ((x0) * (x0)),-1767.171210786164
0,41,((-0.9233511072359675) - ((x0) - (x0))) + ((-0.01069799077091843) - ((-0.6996004815875686) / (x0))),-5064.228176756367
0,42,(abs(1.709130058548167)**(0.645859402767175)) / (abs(x0)**((-0.4709927940189039) - (x0))),-1566.8166890656987
0,43,abs((0.7051196565624532) + ((-0.20827442748175973) / (-1.283958811757373)))**((x0) / (x0)),-2605.7836695848946
0,44,((x0) / ((0.4829541050115671) * (-0.6124732565101173))) - ((-0.2366121031652244) - (0.148340383113022)),-2221.8681974836063
0,45,(((x0) / (x0)) / (x0)) + ((x0) * (0.8397400942942744)),-4882.921638343654
0,46,(abs(x0)**((3.810843155714049) / (2.474385628487084))) / ((abs(-1.0768071995209414)**(-0.3672824229900817)) * (x0)),-729.5494129940467
0,47,((x0) * (x0)) + ((abs(0.6936127522188181)**(x0)) + ((x0) + (-0.7305722276067564))),-1327.563802071254
0,48,((abs(x0)**(3.7479734648105723)) / (x0)) / (((1.787797785178888) * (x0)) * (x0)),-4373.938783564403
0,49,(((x0) + (-0.2858986468800442)) + (0.1874737723279219)) - (((-0.6661087160951625) - (x0)) * (0.4415802075819495)),630.2148918187601
0,50,(abs(x0)**(x0)) / ((x0) - (0.7741008236125821)),-3649.10493878145
0,51,abs((x0) - (-6.662216247392213))**((-1.7466679774737668) - (((x0) / (-3.7000167352016438)) - (x0))),-14388.84033831798
0,52,((x0) / ((0.4366012697077072) + (x0))) * ((-1.1137332590072386) + (-1.611175517166659)),-648.5367014932044
0,53,((-0.09220557937292852) + (((-0.397022810694378) * (x0)) * ((0.5588770869399082) / (-0.2705980142648893)))) / (x0),-3649.223473401555
0,54,((-0.8876264426082088) * (((-0.3006876599162063) * (0.9991923347358371)) / (x0))) * ((x0) / (x0)),-4969.820876336078
0,55,((((-1.524172596839413) + (x0)) * (-0.12481008182093666)) + (x0)) / (abs(x0)**(x0)),-2605.0896351587594
0,56,(((x0) + (-1.0582858613137964)) + (((x0) * (x0)) + (0.010624875947769041))) + (0.4515231842987123),-2417.5757720122215
0,57,((abs((x0) / (x0))**((x0) + (-0.298300396202966))) - (0.6082637423218035)) + (0.4582334643604105),-2604.6529682282053
0,58,(abs(1.1269569966856008)**(x0)) + (abs(1.1538109229601394)**(0.6038396518235122)),-3226.9165544645502
0,59,abs(((0.49967472018505626) * (0.1403604758498836)) - (1.8631398009682647))**((x0) + (-1.138927546939557)),-1363.1037857188098
0,60,(((0.011561547434008624) + ((x0) - (x0))) * (x0)) + ((x0) + (-0.7391121662243081)),-2256.312535591147
0,61,((abs(x0)**((x0) / (-0.8027395057385379))) * (abs(x0)**(0.4199972606537131))) - (x0),-352.6564018467113
0,62,((0.10330626224554755) / (0.5038306464172491)) - ((x0) + (((x0) * (-1.348698509271261)) - (x0))),536.7046858462913
0,63,((0.7172095832978472) * ((abs(-0.3942555067883523)**(-0.785862890695786)) * ((x0) + (-0.28590453666377647)))) - (-0.6124021957811883),-384.66327505923874
0,64,((((0.5863764365736829) + (0.4593013493470646)) - (0.44948851582090443)) / (-1.1592460080803733)) + ((-0.4889689616656306) + (0.13731369391350146)),-2606.6441610203356
0,65,((abs(abs(-0.8202381443392367)**(-0.5813698929252322))**((0.9039095025083683) + (x0))) + (x0)) * (x0),-2772.180100332331
0,66,abs(abs(x0)**(x0))**((0.5031315670259093) / (x0)),-752.2463805448178
0,67,abs((((0.49167565975893335) + (0.5434098551948061)) / ((x0) / (-0.19207526270869169))) / (x0))**(-0.27425806627305677),451.98934324778213
0,68,(abs(0.6499058831905367)**(x0)) - ((x0) + (0.2359323644169927)),-2291.208018375612
0,69,((0.5724009658424009) + (-0.33379589163317264)) * (abs(((0.1708041201854773) + (1.1003028742682581)) + (x0))**(1.7844315960255233)),-632.0431393506132
0,70,(abs(abs((-0.8076526658580703) / (x0))**(x0))**(-0.2706588209873921)) / ((2.4560210255469133) * (x0)),-4631.826794505769
0,71,abs((x0) * (2.748484680268789))**(abs((x0) / (x0))**((x0) + (x0))),-899.5737906051227
0,72,((-0.25208837608235174) + (-1.1061636800683048)) * ((x0) + (x0)),-892.9122148992676
0,73,(abs(x0)**(x0)) / ((0.5095260705192478) + ((0.5959917561437251) - (x0))),-3795.6879729691505
0,74,((x0) + ((-0.2644734593890312) + (0.2795023962358016))) + ((abs(x0)**(1.1883035473489807)) - (-0.14339173370532596)),-2503.475728173588
0,75,((0.9921477124209889) + (x0)) - ((x0) + ((x0) + ((0.049061746553657616) / (x0)))),-2864.215040296358
0,76,abs(abs(x0)**(0.2101467805429582))**((1.9451168809409174) + (x0)),-580.3503674627971
0,77,((x0) * (1.1708263915501829)) * (((-1.0538498681885535) * (0.9318915817371869)) / (0.4112274946994016)),-1426.9918054037691
0,78,abs(abs(((-0.13537140907727632) + (-0.16732189031324843)) / (-6.215163747051458e-05))**((-0.18404209924990966) * (x0)))**(-0.18686253636743105),-2088.535209252177
0,79,((x0) * (-0.771513361730066)) / ((x0) / (1.1017217360167264)),-2604.652987507957
0,80,((x0) / (0.2881536926795788)) / (abs(((-0.7880780197109553) / (-0.6354788150516589)) * (0.9048972376950282))**(x0)),-909.0298944821988
0,81,(abs(-0.8356766390838549)**(abs(-0.3885070715350107)**((0.08798156967339703) * (0.7557347752676844)))) / ((1.2718854117518945) + (-0.20217475468425858)),-2610.455770240079
0,82,(abs(-0.1224618882251769)**(0.6660427356917914)) + ((abs((x0) / (x0))**(x0)) / (1.6956476656209973)),-2605.4779958995105
0,83,(abs(x0)**(0.4338843852855643)) / (abs(x0)**((0.5015991840515172) * ((x0) * (-0.1455028002802224)))),-196.43348204680927
0,84,((-0.4006753202791182) + (0.2519471641321539)) + ((((x0) / (x0)) + (x0)) - (x0)),-2604.667030988252
0,85,((abs(1.8917575478807787e-07)**(x0)) + (x0)) / (abs(-0.9915453575789825)**(x0)),-2106.710895703136
0,86,((x0) / (abs(x0)**(x0))) + ((x0) / (-2.449280904144494)),-3318.888840137312
0,87,((abs((0.833859547159162) / (x0))**(-0.4216651540649137)) + (x0)) + ((-0.08538534669912283) / (0.9530083768147335)),801.9247563685931
0,88,(((-0.4998876972037158) - (0.45784851946822974)) * (0.890612976385592)) - ((x0) - (x0)),-2605.075830725151
0,89,(abs(0.57509951317171)**((0.1908906671733215) - ((-0.5856389348972232) + (x0)))) * (abs(1.3866691759694674)**(-0.9814890351866074)),-1511.6438741057118
0,90,((x0) / (x0)) - (((x0) * (x0)) - (-0.5870063859092776)),-2287.3536167617826
0,91,(((-0.2922936605389813) + ((x0) - (-0.5553831855375658))) * (-0.7756720469534669)) + ((-0.7410886122485427) * (x0)),622.6125310428444
0,92,((abs(abs(x0)**(x0))**(0.6514714412382657)) * ((x0) * (-0.04482103577894785))) + (0.6093655145878542),-2855.5805403487293
0,93,abs((abs((-0.09469456816470988) - (-0.31305383303334633))**(-0.6614278582616522)) * (x0))**((x0) / (x0)),-890.8647171945954
0,94,((x0) * (x0)) + ((0.48923500608842896) * (0.7559227362485067)),-1399.2583376554703
0,95,((x0) / (0.9121072373849208)) + ((x0) - (0.4233667825250453)),-1612.715454412371
0,96,((((x0) + (0.3020269969690761)) * ((x0) - (x0))) * (0.04310060134121829)) - (x0),-2875.6486603965895
0,97,((0.7469364994796025) - ((abs(x0)**(0.41690927076637474)) + ((x0) / (0.6997475979965351)))) + (-0.041745843570968756),-1708.0269577866356
0,98,((0.6990036657641212) / (-0.9433201799017094)) - ((-0.008119543258226305) * (abs(x0)**((x0) + (x0)))),-3248.2412410259913
0,99,((-0.01731525704133245) + (1.6836586827650564)) * (((-0.5056214621990712) - (0.3491572743327342)) * (-0.5988075837959731)),-2604.7089599330375
1,0,(-0.12484219192547999) + (0.9748129920454872),-2604.6529687547036
1,1,((abs(2.3769180241936314e-08)**(x0)) + (x0)) / (abs(-0.9915453575708688)**(x0)),-6060.480108804915
1,2,((x0) / (1.818775306903618)) - ((x0) + (x0)),-1833.4327786055242
1,3,(x0) / (((0.27340303956001694) / (-1.0084265549469422)) - ((x0) * (x0))),-3396.053554103171
1,4,((-1.150735024473877) + (-0.46967619145694933)) + ((x0) * ((x0) / (x0))),-2994.0173053802396
1,5,((0.3912352299371728) + (0.310615140339776)) / (abs(x0)**(x0)),-4904.724147716499
1,6,((abs(-4.156293222929442e-09)**(x0)) + (x0)) / ((-0.8126624303541975) * (0.036134534949370724)),-10976.734167770053
1,7,((abs(abs(-0.22551919264716067)**(-0.780873190877155))**(0.8738612399117894)) + (x0)) * (x0),-2091.532896940202
1,8,((-0.4326359095093374) + (0.24842291712849235)) + (((x0) + (x0)) * ((0.937858023110162) * (-0.9518695206769223))),383.2222366832827
1,9,((0.8886736295263689) / (-0.5890846308230047)) / ((x0) - (x0)),-inf
1,10,0.8761832660592292,-2850.4120259675087
1,11,((abs((1.0286114108397302) / (x0))**(-0.2671558205106423)) + (x0)) + ((-0.20525339830924633) / (0.9656578029116696)),915.3860862792175
1,12,((-0.38705953621779327) + (x0)) * ((-0.8214307566599571) - (x0)),-3001.4565940027333
1,13,((x0) + (0.12394168655223452)) * ((-1.1306323631233666) / (-0.7340584433214783)),569.0029457130847
1,14,((0.005881793313597542) / ((x0) / (1.3542048774171827))) - (0.7884119994485118),-2639.3105237062264
1,15,(abs(1.1861816746361846)**(0.6432488048996517)) / (abs(x0)**((-0.3850099157684942) - (x0))),-1806.6695498731508
1,16,((x0) - (x0)) - (abs(-0.6268313793349125)**(0.34081126669114736)),-2604.7438738824585
1,17,((-0.33306273350562865) + (0.23088071321983522)) + ((((x0) / (x0)) + (x0)) - (x0)),-2624.6700319219417
1,18,((x0) / (0.9160744822189675)) + ((-0.2732067703633034) - (0.4685505051455346)),-2320.1621833450204
1,19,(((0.7104013037424944) * ((x0) * (-0.40538194651307835))) - (-0.8111438886342334)) * ((x0) - (0.4577909385198401)),-3470.771231753516
1,20,(1.1053693511268774) * ((-2.1517063666075145) * (x0)),-964.178538928543
1,21,abs((0.28493288192966315) + (-0.08767633322180489))**(abs(0.003230985973649082)**(x0)),-1784.9328734318037
1,22,(abs(0.9766146222224863)**((0.02371129141134889) - ((-0.41845955482607544) + (0.16823437388776452)))) * (abs(1.1544054933363828)**(-0.8736596998045811)),-2605.809174096319
1,23,(abs(x0)**(x0)) / (abs(x0)**((0.7037846810433065) * ((x0) * (1.2252776960939447)))),-2457.7489708900207
1,24,-0.8499763576669523,-2604.6529675644924
1,25,(((-0.48760129594896695) - (0.44556205419088407)) * (0.8763712951111127)) - ((x0) - (x0)),-3180.219056770201
1,26,(x0) - (0.4267852774213103),-2151.9162430012366
1,27,(abs(x0)**(x0)) * ((x0) + (x0)),-3627.0914455538577
1,28,abs((-1.1233848533631994) * (0.9705047807105797))**((x0) + (x0)),-2152.0646139072037
1,29,-0.8499750356531822,-2604.6529675625256
1,30,x0,-2597.22751748149
1,31,((x0) - (-0.9121502130556502)) - (abs(x0)**(0.1572442596659132)),-882.5709353138407
1,32,(x0) - (-0.2581427997465152),244.0220054128005
1,33,(abs(x0)**(x0)) - ((x0) + (0.4297956887124231)),-4226.5715403895265
1,34,abs((abs((0.00802438360614944) - (x0))**(-0.45110539035340164)) * (x0))**((x0) / (x0)),-741.4053102435051
1,35,((x0) / (x0)) / ((0.5950783584533155) - (x0)),-4298.281910069414
1,36,(abs(x0)**(0.6406052465158628)) / (((-0.9580916518977595) / (-1.0711957232605072)) * (-0.7260331928202902)),530.7846017781158
1,37,x0,-2584.1110136728175
1,38,abs((-0.7805350751276453) / ((0.1976493536589117) / (0.4137107351167716)))**((-0.3731872216562426) + ((x0) - (x0))),-2647.0704679572395
1,39,((0.6156039478446897) + (x0)) - ((-0.23433879888577797) + (x0)),-2604.6529693096413
1,40,abs((x0) / (-0.17537765765361862))**((0.07097264266088765) * (x0)),-2097.880136403406
1,41,((x0) + (-0.6581902569301394)) + ((0.6420610380253675) - (-0.27968065167353867)),-2.220551777898507
1,42,x0,-2584.1110134177743
1,43,abs(1.4542931523304758)**((x0) / (x0)),-2986.5998962272947
1,44,0.8499788925653754,-2604.6529676773334
1,45,0.8712164769216958,-3201.055804826544
1,46,abs((x0) * (2.7475558213623907))**(abs((x0) / (x0))**(x0)),-890.5134164978285
1,47,((x0) * (-3.5940870312421302)) * (abs(x0)**(x0)),-3075.0198327265925
1,48,(((x0) + (-0.7813322190611687)) + (-0.30795978863580037)) - ((x0) * (0.5854770282634509)),-2894.373991776167
1,49,abs(abs(x0)**(x0))**((0.5022272412432084) / (x0)),-752.2151891113716
1,50,((-0.8276959283413744) / ((-1.2891467887258257) / (x0))) - (((-0.34122645797224727) - (x0)) + (0.1684711664616249)),600.9733368455169
1,51,((x0) * (2.177823357763023)) - ((x0) * (-0.6937920696860848)),-1131.6214083120872
1,52,(-0.8461567179464838) / (abs(-0.8096434617016328)**((x0) + (-2.47966187193497))),-3153.080578140186
1,53,abs((-0.4194371193040601) / (1.2393143022827446))**(abs(-0.03388722831037863)**(x0)),-1920.523200926744
