evals;expr;nll;coeff;best_nll
1;p1 + (x + 1.0 / (1.0 + abs(x) ^ x));342.1970493818952;[-0.14348481059097154, -0.6227296324348611];342.1970493818952
19;p1 / abs(1.0 / (p2 + (x - p3 ^ x))) ^ x;-171.6595065062775;[1.1905100081456288, -1.202116764103471, -1.4271946240715243, 0.15059877314031994];-171.6595065062775
30;p1 + 1.0 / (p2 - abs(x + abs(x) ^ x) ^ p3);-172.7050882969038;[1.8571708673310943, -0.5849812534099951, 9.344428258747104, 0.15016442292102214];-172.7050882969038
60;p1 + p2 ^ (abs(1.0 / (p3 + (x + x))) ^ p4);-185.03918757408002;[0.8592642592943263, 6.0427128665527005e-6, 0.7052083984914465, 8.457146203369813, -0.1453014379174709];-185.03918757408002
214;p1 ^ (abs(abs(x + -1.0 / (p2 - x)) ^ p3) ^ p4);-310.2026178295022;[4.53259252279867, 0.08300000047468226, -0.7708188164806914, 1.3123831395172583, 0.10270930216188795];-310.2026178295022
429;abs(p1 ^ (x - abs(p2 + x) ^ p3)) ^ p4;-316.78339010404164;[-2.0144231436997706, -0.5413142372727181, 1.0630964189785632, 1.7219540685026555, -0.10085910075275821];-316.78339010404164
536;p1 + abs(p2 + x) ^ (p3 ^ (p4 ^ -x));-419.8615846900809;[-5.829215875165789, 1.7259324304415082, 3.3064065377194356, 1.6594326773748747, -0.07586672254541406];-419.8615846900809
734;p1 / abs(1.0 / (p2 - abs(abs(x) ^ x) ^ p3)) ^ x;-426.72054972766733;[0.9459947263153171, -1.2323742369167714, -1.568935843807458, -0.07444277023899613];-426.72054972766733
1401;p1 + -1.0 / (1.0 / (p2 - p3 ^ x) - x);-495.6668320452303;[1.3123069348976446, 1.68732150208603, -4.681813629203226, -0.061532859810977274];-495.6668320452303
3836;p1 ^ (p2 + abs(p3 + p4 ^ -x) ^ p5);-613.1687847163553;[0.1664926047819919, -0.4320293619675015, -0.21774834155389633, -4.949198140885566, 1.2667470738116595, -0.04447741249259548];-613.1687847163553
45316;p1 ^ (p2 - abs(1.0 / (p3 + p4 ^ x)) ^ p5);-613.1687848311858;[6.006317473539623, 0.4320269479273572, -0.21774851909052143, 0.20205281906438288, -1.2667513070593166, 0.04447734978227051];-613.1687848311858
47033;p1 * (x + -1.0 / (p2 + x / p3 ^ x));-638.8278984860632;[0.3193956411380214, -0.5022263521933602, 3.065822624448505, -0.04143387479220155];-638.8278984860632
80069;p1 - abs(p2 + -1.0 / (p3 - p4 ^ x)) ^ p5;-642.5677312213526;[2.1599179109043236, -2.101400095710107, -0.3724608457307987, -0.0954766211313884, 1.4308150149465624, 0.041008068043925906];-642.5677312213526
573425;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;[2.2221178362022687, 0.2529513366663108, -3.433810352807388e-5, -0.1370209875630055, 0.03815680906869558];-668.6547708198007
723334;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;[-2.222117918490698, -0.25295131557669676, 3.433805441623689e-5, 0.13702096272873504, 0.03815680479216008];-668.6547708198748
