n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_mse
1;p1 ^ (-1.0 / (1.0 + x));267.3482571175259;[-0.3614747166130611, 0.5064106129668106];1331;36;0.633971871;0.2564517092268559
9;p1 + abs(abs(x) ^ x) ^ (p2 ^ -x);-27.184274046470335;[0.8040810223678857, 7.957150763934143, 0.22446550729010895];7973;146;6.094448464;0.05038476387831106
16;1.0 / (p1 + p2 * abs(abs(x) ^ x) ^ p3);-33.98738533091418;[0.5428303743012367, 0.000304976770946134, -17.757149980972432, -0.2204217723699403];46151;492;36.212462773;0.04852610112659926
52;p1 ^ (1.0 / (x - p2 ^ (p3 + x)));-40.32292362419043;[0.5635196562371342, 1.515798162573284, 0.5746952410034513, -0.21646466495175182];126538;1011;88.37850528700002;0.04685696207594963
53;abs(p1 ^ (p2 / (p3 + -1.0 / x))) ^ p4;-65.62175050508273;[5.388649048084058, 4.184542457854923, -7.927163728338231, -0.7385304865245378, -0.2018532960298341];138337;1144;98.12473432400003;0.04074475325759113
63;p1 + 1.0 / (x - p2 ^ (x + x));-130.99518313156156;[1.8502141424409293, 6.297567571405391, 0.16850266888891238];178200;1577;119.56568251900003;0.02839314921377593
78;abs(p1 ^ (abs(p2 ^ x) ^ p3)) ^ x;-205.19387879294123;[-4.6828276901204315, 1.6624975849751102, -1.5949328375298006, 0.137274533251974];241175;2302;167.83020044100004;0.01884429746002136
147;1.0 / (p1 - abs(p2 + p3 ^ x) ^ x);-244.29820599676418;[1.8594353064244327, 1.0501728838776045, 0.3056432454728718, -0.12321873766335042];1042295;3919;653.3976638079998;0.015182817175852258
168;abs(abs(1.0 / (p1 - x)) ^ p2) ^ (p3 ^ x);-254.28079679675994;[-0.8671758824742452, -2.2090612518022854, 0.5098899134422483, -0.11986709567715917];1093186;4388;684.4225376739998;0.014368120584525476
300;abs(p1 + p2 * x) ^ (p3 ^ x);-293.7745678191828;[-0.5041296081658955, -2.9427040916969553, 0.5704434778082313, 0.10747785103545815];10600638;8066;5751.782429267;0.011551488165225846
834;abs(p1 ^ (p2 - abs(x) ^ -x)) ^ x;-346.80348200281696;[-0.5656669048276667, -0.2603982295844611, -0.09283243216813784];12359754;20867;6944.062072101999;0.00861786046295048
2379;abs(p1 + abs(abs(x) ^ -x) ^ p2) ^ x;-349.3362271086944;[1.199858276587031, 1.6053912402616972, 0.09218519394791626];25911365;62824;16879.134391437998;0.008498109957499287
2719;abs(1.0 / (p1 * x + p2 ^ x)) ^ p3;-357.54498885643;[0.032997234643128134, 0.005440062660896501, 0.21858165259405798, -0.0901183175732269];27756908;71371;17970.500966974996;0.008121310282377055
2837;abs(p1 + p2 ^ (abs(x) ^ -x)) ^ x;-361.34123388775527;[0.16312638419094516, -1.8933578085619986, 0.08917819256232867];29134227;75002;18724.713443882993;0.007952749965989532
3978;1.0 / (p1 + (p2 ^ x + p3 ^ x));-361.6203831251222;[-0.5869530195838302, -1.0649494109276303, 0.01952271658158296, 0.08910944624863326];56818396;106588;33973.640424235;0.007940494203255415
4923;x * p1 ^ (x - p2 ^ x);-375.45849117932033;[-0.16003911590907427, -1.3910443562365036, 0.08576736964381775];68551578;131167;41030.78166108807;0.007356040996169266
7140;p1 / (1.0 / (p2 - x) + p3 ^ x);-556.9439756670192;[-0.30086811261486995, -0.6733527125693481, 0.4528479731674669, 0.05195084686912565];101700976;185055;60911.85177170712;0.002698887484036575
67644;p1 / (1.0 / (p2 + x) - p3 ^ x);-556.9439756680217;[0.3008681136542706, 0.6733527565497107, -0.45284796737000566, -0.05195082241417289];1097600898;1775384;698866.5213205118;0.0026988874840232616
