evals;expr;nll;coeff;mse;best_mse
1;646026;abs(x) ^ (abs(p1 * p2 ^ (-2.0 * x)) ^ x);1.7976931348623157e308;1.7976931348623157e308;1.7976931348623157e308
2;665450;abs(abs(x + x) ^ (x + abs(x) ^ x)) ^ x;1.7976931348623157e308;1.7976931348623157e308;179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3;15504;abs(p1 ^ (x * (p2 + x))) ^ (p3 ^ x);-204.96260314598186;0.018868372559377435;0.018868372559377435
9;2794;1.0 / (p1 + p2 ^ (x + p3 * p4 ^ x));-385.30850817997197;0.00696642301981032;0.00696642301981032
59;2614;p1 * (x * (p2 + abs(p3 ^ x) ^ p4));-390.07416324868734;0.006785393657824732;0.006785393657824732
473;1823;p1 / (p2 + (p3 * x + p4 ^ -x));-412.65613512783824;0.005989512570031082;0.005989512570031082
2214;1540;p1 + 1.0 / (x + p2 / (p3 + -2.0 * x));-422.3668214626467;0.005676641848995084;0.005676641848995084
3773;770;p1 * p2 ^ (x * p3 ^ (p4 ^ x));-483.7849256452979;0.004043187199352096;0.004043187199352096
5075;311;1.0 / (p1 + abs(abs(p2 + p3 ^ x) ^ p4) ^ p5);-547.0449656843031;0.002850602307839691;0.002850602307839691
12516;270;p1 - p2 ^ (abs(p3 + p4 ^ x) ^ p5);-556.4375784057773;0.00270644893645201;0.00270644893645201
13540;255;p1 + abs(abs(1.0 / (p2 + x)) ^ (p3 ^ x)) ^ p4;-558.0181843809584;0.0026829174156651316;0.0026829174156651316
19843;111;abs(p1 + x) ^ (p2 ^ (p3 - abs(x) ^ -x));-588.0864180750616;0.0022722759544003485;0.0022722759544003485
20728;2;p1 / (1.0 / (p2 + x) + p3 ^ (p4 ^ x));-668.6547708198007;0.0014559417346996454;0.0014559417346996454
719074;1;p1 / (1.0 / (p2 - x) - p3 ^ (p4 ^ x));-668.6547708198748;0.00145594173469909;0.00145594173469909
