n;expr;nll;coeff;sum_fevals;sum_restarts;sum_runtime;best_nll
1;p1 ^ (abs(x) ^ (1.0 / x - x * x));2589.928008224258;[-1.7641987757995357, -0.49952392853442484, -0.5034361466987395, 0.7402425610889287];4990;85;12.530466448;2589.928008224258
2;x * (x / (p1 + 1.0 / (p2 + x)));1319.5249540272837;[0.5582267894616476, -1.8053422727757222, 0.1878141952851616, -0.5246468367310934, 0.6976585167080759];47522;396;294.47555236600004;1319.5249540272837
3;x + p1 / abs(p2 ^ x) ^ x;-244.2527573058093;[0.25813909527847057, -0.9992939158221912, 0.14182299703185758, -0.4913967556747277, -0.7462623240572761];49227;401;299.09138786500006;-244.2527573058093
18;x + x * abs(p1 / x) ^ p2;-977.7430012027855;[-0.5881426871418367, 0.5806426050976502, -0.08219296526451969, -0.5036630950766461, 0.7365680146765693];169265;1670;799.512702995;-977.7430012027855
20;x + p1 / (p2 - abs(x) ^ p3);-998.326517506591;[-1.366174617346772, -0.9502078136053408, -0.5741400003564854, 0.08064905254780858, -0.5028795183563862, 0.7390799940414404];220075;2096;897.545339407;-998.326517506591
509;p1 + 1.0 / (p2 + abs(x + x) ^ p3);-998.8882068389041;[0.04542727941501501, -0.03039473471767302, -0.6810185694668454, -0.08104562829848859, -0.5022187793358431, 0.7401836945817672];5915088;58392;19833.97125941;-998.8882068389041
568;p1 + (p2 ^ (abs(x) ^ p3) - x);-1000.7434398556906;[-1.019545973020145, -0.2998439774779807, 0.5866218004331628, 0.0806507822789766, -0.503106529618304, -0.7389823118420049];6494711;64065;21957.555698862005;-1000.7434398556906
1812;x + p1 ^ -(p2 ^ (abs(x) ^ p3));-1001.5264412088962;[51.472754193466876, 0.08497185625570135, 0.3310596054583293, 0.08069454160022538, -0.5030238831505303, 0.7391589643120986];20271442;206332;66349.80189117003;-1001.5264412088962
2103;p1 + abs(p2 + abs(x) ^ p3) ^ p4;-1001.8875235991673;[0.016211206434678403, -0.21541831492095403, -0.2517474062030645, -2.198487850417767, 0.08068322083640855, -0.5025246675253346, 0.739982307003524];23446533;238313;76354.71677749109;-1001.8875235991673
3139;p1 ^ (p2 - abs(x) ^ p3) - x;-1002.0572884848282;[1.3901083781647179e-5, 0.910750395396945, 0.07225605289484723, 0.08060908287264575, -0.5025295166347075, 0.7399856535558762];35524366;352687;119022.67572907897;-1002.0572884848282
8985;1.0 / (p1 - abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364590589;[-0.018006421855819413, -0.27601522405795453, -0.297182755589866, 1.7516007575333878, 0.08058579491405887, -0.5025191136129609, -0.7399036046852624];101289432;999156;339414.8432953738;-1002.3409364590589
64652;1.0 / (p1 + abs(p2 + abs(x) ^ p3) ^ p4);-1002.3409364613959;[0.018006544923177555, -0.2760156709678234, -0.2971832094207702, 1.7515977075079971, -0.0805857551180957, -0.5025184341869173, 0.7399037066655398];732036019;7217956;2432966.6694916016;-1002.3409364613959
